identifiant_visite,visit_num,visit_page_num,post_cust_hit_time_gmt,visit_start_time_gmt,referrer,encrypted_user_id,Account_Created_journey,simulated_detailed_event,Action_description,simulated_subject
0013d464b379798b431651e423ad6751-1,1,1,2022-05-20T22:01:19.000Z,2022-05-20T22:01:19.000Z,Social Networks,0013d464b379798b431651e423ad6751,0,Page_Mordu,,science
0018874d05ae018cb220473caaedfb85-538,538,1,2022-06-16T10:03:27.000Z,2022-06-16T10:03:27.000Z,Search Engines,0018874d05ae018cb220473caaedfb85,0,Page_accueil_Mordu,,
001bf1ea9397469fc450c4f2dad40060-23,23,1,2022-06-05T13:29:07.000Z,2022-06-05T13:29:07.000Z,Search Engines,001bf1ea9397469fc450c4f2dad40060,0,Page_Mordu,,environnement
00201f51794866f009e343261b1936da-284,284,1,2022-05-11T22:54:39.000Z,2022-05-11T22:54:39.000Z,Search Engines,00201f51794866f009e343261b1936da,0,Page_Mordu,,environnement
00201f51794866f009e343261b1936da-284,284,2,2022-05-11T22:54:40.000Z,2022-05-11T22:54:39.000Z,Search Engines,00201f51794866f009e343261b1936da,0,Action_autre,authentification,
0020aa710b4087648ed8b0b8361e0a60-3,3,1,2022-05-29T14:21:16.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Page_accueil_Info,,
0020aa710b4087648ed8b0b8361e0a60-3,3,2,2022-05-29T14:22:08.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Page_accueil_Info,,
0020aa710b4087648ed8b0b8361e0a60-3,3,3,2022-05-29T14:22:15.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,cuisine
0020aa710b4087648ed8b0b8361e0a60-3,3,4,2022-05-29T14:22:16.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,science
0020aa710b4087648ed8b0b8361e0a60-3,3,5,2022-05-29T14:23:07.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,histoire
0020aa710b4087648ed8b0b8361e0a60-3,3,6,2022-05-29T14:52:54.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,cuisine
0020aa710b4087648ed8b0b8361e0a60-3,3,7,2022-05-29T14:52:55.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,cuisine
0020aa710b4087648ed8b0b8361e0a60-3,3,8,2022-05-29T14:53:08.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,science
0020aa710b4087648ed8b0b8361e0a60-3,3,9,2022-05-29T14:53:08.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,science
0020aa710b4087648ed8b0b8361e0a60-3,3,10,2022-05-29T14:54:08.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,politique
0020aa710b4087648ed8b0b8361e0a60-3,3,11,2022-05-29T15:50:48.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,cuisine
0020aa710b4087648ed8b0b8361e0a60-3,3,12,2022-05-29T15:50:49.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,economie
0020aa710b4087648ed8b0b8361e0a60-3,3,13,2022-05-29T15:51:08.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,histoire
0020aa710b4087648ed8b0b8361e0a60-3,3,14,2022-05-29T15:51:08.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,cuisine
0020aa710b4087648ed8b0b8361e0a60-3,3,15,2022-05-29T15:51:37.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,environnement
0020aa710b4087648ed8b0b8361e0a60-3,3,16,2022-05-29T16:19:09.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,economie
0020aa710b4087648ed8b0b8361e0a60-3,3,17,2022-05-29T16:19:09.000Z,2022-05-29T14:21:16.000Z,Search Engines,0020aa710b4087648ed8b0b8361e0a60,0,Video_Info,,histoire
0022ea6c4dd673433c56a901c32403b2-206,206,1,2022-05-12T16:54:43.000Z,2022-05-12T16:54:43.000Z,Search Engines,0022ea6c4dd673433c56a901c32403b2,0,Page_accueil_Mordu,,
0022ea6c4dd673433c56a901c32403b2-206,206,2,2022-05-12T16:54:53.000Z,2022-05-12T16:54:43.000Z,Search Engines,0022ea6c4dd673433c56a901c32403b2,0,Page_Mordu,,economie
00293cc5055eee45c32a1760e329ed64-2,2,1,2022-05-19T22:56:20.000Z,2022-05-19T22:56:20.000Z,Typed/Bookmarked,00293cc5055eee45c32a1760e329ed64,0,Page_Mordu,,cuisine
00293cc5055eee45c32a1760e329ed64-2,2,2,2022-05-19T23:00:16.000Z,2022-05-19T22:56:20.000Z,Typed/Bookmarked,00293cc5055eee45c32a1760e329ed64,0,Page_accueil_Mordu,,
002c65f4a27e4340a540ad6ec9022b6b-34,34,1,2022-06-07T14:09:02.000Z,2022-06-07T14:09:02.000Z,Typed/Bookmarked,002c65f4a27e4340a540ad6ec9022b6b,0,Page_accueil_Mordu,,
002c65f4a27e4340a540ad6ec9022b6b-34,34,2,2022-06-07T14:14:47.000Z,2022-06-07T14:09:02.000Z,Typed/Bookmarked,002c65f4a27e4340a540ad6ec9022b6b,0,Page_accueil_Mordu,,
002c65f4a27e4340a540ad6ec9022b6b-34,34,3,2022-06-07T14:26:02.000Z,2022-06-07T14:09:02.000Z,Typed/Bookmarked,002c65f4a27e4340a540ad6ec9022b6b,0,Page_accueil_Mordu,,
003105e44bec5aeb5956ab8f57bcc552-17,17,1,2022-05-17T03:06:15.000Z,2022-05-17T03:06:15.000Z,Typed/Bookmarked,003105e44bec5aeb5956ab8f57bcc552,0,Page_Mordu,,science
0034743d36ba73cf396fd62779cc2ab2-16,16,1,2022-05-17T18:27:12.000Z,2022-05-17T18:27:12.000Z,Social Networks,0034743d36ba73cf396fd62779cc2ab2,0,Page_Mordu,,cuisine
0038ab2ea9064f43111948008a029c6d-1,1,1,2022-05-03T21:18:59.000Z,2022-05-03T21:18:59.000Z,Search Engines,0038ab2ea9064f43111948008a029c6d,0,Page_Mordu,,science
0038ab2ea9064f43111948008a029c6d-1,1,2,2022-05-03T21:19:56.000Z,2022-05-03T21:18:59.000Z,Search Engines,0038ab2ea9064f43111948008a029c6d,0,Page_accueil_Mordu,,
0038ab2ea9064f43111948008a029c6d-1,1,3,2022-05-03T21:20:17.000Z,2022-05-03T21:18:59.000Z,Search Engines,0038ab2ea9064f43111948008a029c6d,0,Page_Mordu,,economie
0038ab2ea9064f43111948008a029c6d-1,1,4,2022-05-03T21:21:17.000Z,2022-05-03T21:18:59.000Z,Search Engines,0038ab2ea9064f43111948008a029c6d,0,Page_Mordu,,cuisine
003b98efce315bc4db129f89751065f9-62,62,1,2022-05-04T01:58:13.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,economie
003b98efce315bc4db129f89751065f9-62,62,2,2022-05-04T02:00:27.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,science
003b98efce315bc4db129f89751065f9-62,62,3,2022-05-04T02:00:46.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,sports
003b98efce315bc4db129f89751065f9-62,62,4,2022-05-04T02:00:54.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,environnement
003b98efce315bc4db129f89751065f9-62,62,5,2022-05-04T02:01:06.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,economie
003b98efce315bc4db129f89751065f9-62,62,6,2022-05-04T02:01:10.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,economie
003b98efce315bc4db129f89751065f9-62,62,7,2022-05-04T02:01:10.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,economie
003b98efce315bc4db129f89751065f9-62,62,8,2022-05-04T02:01:11.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,politique
003b98efce315bc4db129f89751065f9-62,62,9,2022-05-04T02:01:17.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,economie
003b98efce315bc4db129f89751065f9-62,62,10,2022-05-04T02:01:39.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Video_Mordu,,economie
003b98efce315bc4db129f89751065f9-62,62,11,2022-05-04T02:03:45.000Z,2022-05-04T01:58:13.000Z,Typed/Bookmarked,003b98efce315bc4db129f89751065f9,1,Action_creation_compte,entete|creer-mon-compte,
00440644d6efad6052007edd621cd4ac-2,2,1,2022-05-29T14:52:51.000Z,2022-05-29T14:52:51.000Z,Search Engines,00440644d6efad6052007edd621cd4ac,0,Page_Mordu,,science
